timestamp,open,high,low,close,volume,turnover,timestamp_string
1615766400000,1850.35,1885,1842.6,1875,4436.19,8317856.25,15.03.2021 00:00
1615770000000,1875,1894,1870,1887.3,1946.2,3673063.26,15.03.2021 01:00
1615773600000,1887.3,1894.3,1882.4,1885.2,1978.25,3729396.9,15.03.2021 02:00
1615777200000,1885.2,1892.2,1885.2,1886.55,1540.79,2906777.3745,15.03.2021 03:00
1615780800000,1886.55,1893.5,1858.85,1864.05,4940.45,9209245.8225,15.03.2021 04:00
1615784400000,1864.05,1866.7,1845,1845.05,4188.38,7727770.519,15.03.2021 05:00
1615788000000,1845.05,1854.45,1799,1810.45,16627.72,30103655.674,15.03.2021 06:00
1615791600000,1810.45,1811.8,1772,1794.1,11475.83,20588786.603,15.03.2021 07:00
1615795200000,1794.1,1811.25,1783.25,1791.3,4924.38,8821041.894,15.03.2021 08:00
1615798800000,1791.3,1798.4,1736.4,1766.8,18800.71,33217094.428,15.03.2021 09:00
1615802400000,1766.8,1783,1762.7,1783,3538.99,6310019.17,15.03.2021 10:00
1615806000000,1783,1785.95,1768.25,1771.65,2663.22,4718293.713,15.03.2021 11:00
1615809600000,1771.65,1782.1,1747.3,1778,5484.83,9752027.74,15.03.2021 12:00
1615813200000,1778,1794,1776.25,1788.9,3437.83,6149934.087,15.03.2021 13:00
1615816800000,1788.9,1804.8,1776.9,1777.05,6085.36,10813988.988,15.03.2021 14:00
1615820400000,1777.05,1789.4,1766,1767.35,5995.82,10596712.477,15.03.2021 15:00
1615824000000,1767.35,1785.95,1753.35,1772.45,6051.97,10726814.2265,15.03.2021 16:00
1615827600000,1772.45,1777.7,1756.8,1770.95,2963.85,5248830.1575,15.03.2021 17:00
1615831200000,1770.95,1789.4,1766.15,1785.5,2350.39,4196621.345,15.03.2021 18:00
1615834800000,1785.5,1793.45,1783.75,1786.15,1841.57,3289320.2555,15.03.2021 19:00
1615838400000,1786.15,1807.05,1778.95,1791.4,3679.01,6590578.514,15.03.2021 20:00
1615842000000,1791.4,1803.3,1788.85,1799,2092.79,3764929.21,15.03.2021 21:00
1615845600000,1799,1802.8,1780,1787.15,1646.21,2942024.2015,15.03.2021 22:00
1615849200000,1787.15,1808.15,1784.25,1794.7,2691.86,4831081.142,15.03.2021 23:00
1615852800000,1794.7,1803.85,1730.3,1732.6,7113.93,12325595.118,16.03.2021 00:00
1615856400000,1732.6,1755.8,1712.4,1750.8,8386.01,14682226.308,16.03.2021 01:00
1615860000000,1750.8,1758.9,1744.45,1753.3,1506.58,2641486.714,16.03.2021 02:00
1615863600000,1753.3,1755.8,1740,1751.25,2241.91,3926144.8875,16.03.2021 03:00
1615867200000,1751.25,1761.05,1747.7,1752,2279.19,3993140.88,16.03.2021 04:00
1615870800000,1752,1758.8,1741.9,1753.9,3537.41,6204263.399,16.03.2021 05:00
1615874400000,1753.9,1794.2,1740.45,1790,4891.8,8756322,16.03.2021 06:00
1615878000000,1790,1803,1785.85,1798.4,3754.19,6751535.296,16.03.2021 07:00
1615881600000,1798.4,1819,1796.55,1804.4,3576.59,6453598.996,16.03.2021 08:00
1615885200000,1804.4,1818.3,1801.9,1808.05,1388.58,2510622.069,16.03.2021 09:00
1615888800000,1808.05,1810.15,1789.4,1797.6,2862.22,5145126.672,16.03.2021 10:00
1615892400000,1797.6,1802,1783.3,1793.9,1993.96,3576964.844,16.03.2021 11:00
1615896000000,1793.9,1796.6,1768.15,1779.75,3057.14,5440944.915,16.03.2021 12:00
1615899600000,1779.75,1795,1777,1785.6,1989.97,3553290.432,16.03.2021 13:00
1615903200000,1785.6,1795.8,1781,1795.8,1361.98,2445843.684,16.03.2021 14:00
1615906800000,1795.8,1808.05,1792.7,1803.9,2570.46,4636852.794,16.03.2021 15:00
1615910400000,1803.9,1814.65,1796.5,1802.1,2937.55,5293758.855,16.03.2021 16:00
1615914000000,1802.1,1806.3,1764.3,1775.85,3858.88,6852792.048,16.03.2021 17:00
1615917600000,1775.85,1783.95,1769.45,1779.2,742.04,1320237.568,16.03.2021 18:00
1615921200000,1779.2,1788.15,1774.45,1785.7,984.19,1757468.083,16.03.2021 19:00
1615924800000,1785.7,1801.95,1783,1798.1,2461.99,4426904.219,16.03.2021 20:00
1615928400000,1798.1,1800.55,1787.7,1787.8,1349.2,2412099.76,16.03.2021 21:00
1615932000000,1787.8,1800.75,1782.1,1789.95,1497.88,2681130.306,16.03.2021 22:00
1615935600000,1789.95,1809.3,1784.15,1806.5,2497.91,4512474.415,16.03.2021 23:00
1615939200000,1806.5,1814.4,1772.25,1784.85,3209.19,5727922.7715,17.03.2021 00:00
1615942800000,1784.85,1787.95,1776,1784.85,1521.62,2715863.457,17.03.2021 01:00
1615946400000,1784.85,1786.4,1768.2,1776.25,1063.43,1888917.5375,17.03.2021 02:00
1615950000000,1776.25,1779.3,1761,1767.75,1419.69,2509656.9975,17.03.2021 03:00
1615953600000,1767.75,1777,1764.3,1773.35,1287.44,2283081.724,17.03.2021 04:00
1615957200000,1773.35,1781.95,1766.05,1780,2365.22,4210091.6,17.03.2021 05:00
1615960800000,1780,1787.45,1774.6,1785.2,1122.47,2003833.444,17.03.2021 06:00
1615964400000,1785.2,1786,1779,1784.7,1194.41,2131663.527,17.03.2021 07:00
1615968000000,1784.7,1795,1778.3,1782.85,2518.09,4489376.7565,17.03.2021 08:00
1615971600000,1782.85,1785.5,1753.05,1759.05,3259.44,5733517.932,17.03.2021 09:00
1615975200000,1759.05,1769.85,1757.05,1767.8,2888.9,5106997.42,17.03.2021 10:00
1615978800000,1767.8,1768.25,1755.65,1760.8,1720.11,3028769.688,17.03.2021 11:00
1615982400000,1760.8,1769.25,1742.5,1766.9,3145.86,5558420.034,17.03.2021 12:00
1615986000000,1766.9,1775.9,1762.1,1770.2,2175.58,3851211.716,17.03.2021 13:00
1615989600000,1770.2,1776.3,1761.75,1769.4,2946.02,5212687.788,17.03.2021 14:00
1615993200000,1769.4,1777.95,1759.95,1773.7,3335.41,5916016.717,17.03.2021 15:00
1615996800000,1773.7,1795,1769.25,1786.45,3173.3,5668941.785,17.03.2021 16:00
1616000400000,1786.45,1795,1784.65,1789.4,1689.69,3023531.286,17.03.2021 17:00
1616004000000,1789.4,1825,1789.4,1821.75,8502.42,15489283.635,17.03.2021 18:00
1616007600000,1821.75,1840.65,1820,1828.85,7614.49,13925760.0365,17.03.2021 19:00
1616011200000,1828.85,1840.25,1813.65,1817.9,3896.84,7084065.436,17.03.2021 20:00
1616014800000,1817.9,1830.95,1812,1824.85,3177.4,5798278.39,17.03.2021 21:00
1616018400000,1824.85,1829.7,1817,1817.3,2698.51,4904002.223,17.03.2021 22:00
